Language,Model,Tokens,Spearman's Rho
english,temporal_attention,2250000,0.39231727456607685
english,UWB,2250000,0.38532219472340584
english,UG_Student_Intern,2250000,0.28644259152361495
english,temporal_attention,2250000,0.5547453997264049
english,UWB,2250000,0.2138834582403151
english,UG_Student_Intern,2250000,0.24636908327238072
english,temporal_attention,2250000,0.23261604493763763
english,UWB,2250000,0.34358883701797854
english,UG_Student_Intern,2250000,0.28253008923873113
english,temporal_attention,2250000,0.3169126850755889
english,UWB,2250000,0.2611891676848194
english,UG_Student_Intern,2250000,0.22301263023837734
english,temporal_attention,2250000,0.35437785847023384
english,UWB,2250000,0.26664295874859684
english,UG_Student_Intern,2250000,0.23237892358703863
english,temporal_attention,2250000,0.5113521925667844
english,UWB,2250000,0.24530203719468516
english,UG_Student_Intern,2250000,0.28762819827661
english,temporal_attention,2250000,0.40998281518570384
english,UWB,2250000,0.17463987471617748
english,UG_Student_Intern,2250000,0.2424565809874969
english,temporal_attention,2250000,0.19977473787967348
english,UWB,2250000,0.2500444642066655
english,UG_Student_Intern,2250000,0.331614208812728
english,temporal_attention,2250000,0.5355385703278843
english,UWB,2250000,0.3403876987848918
english,UG_Student_Intern,2250000,0.3020926006631502
english,temporal_attention,2250000,0.3531922517172388
english,UWB,2750000,0.2651016699697032
english,UG_Student_Intern,2750000,0.3780899935301358
english,temporal_attention,2750000,0.5965973181071318
english,UWB,2750000,0.29094789718499625
english,UG_Student_Intern,2750000,0.30387101079264284
english,temporal_attention,2750000,0.3632699091176971
english,UWB,2750000,0.3880490902552945
english,UG_Student_Intern,2750000,0.33576383244821084
english,temporal_attention,2750000,0.3023297220137492
english,UWB,2750000,0.2966388095993728
english,UG_Student_Intern,2750000,0.40085364318764155
english,temporal_attention,2750000,0.28952516908140213
english,UWB,2750000,0.3403876987848918
english,UG_Student_Intern,2750000,0.2649831092944037
english,temporal_attention,2750000,0.44685518520385126
english,UWB,2750000,0.23723991127431848
english,UG_Student_Intern,2750000,0.3466714145757657
english,temporal_attention,2750000,0.6141442980514592
english,UWB,2750000,0.33706799987650543
english,UG_Student_Intern,2750000,0.2908293365096968
english,temporal_attention,2750000,0.4174521377295729
english,UWB,2750000,0.22407967631607295
english,UG_Student_Intern,2750000,0.25597249797164096
english,temporal_attention,2750000,0.2547868912186459
english,UWB,2750000,0.40571463087492143
english,UG_Student_Intern,2750000,0.2636789418661091
english,temporal_attention,2750000,0.3929100779425745
english,UWB,2750000,0.37073923166156614
english,UG_Student_Intern,2750000,0.2757721307466591
english,temporal_attention,2750000,0.4904855137140708
english,UWB,3250000,0.3910131071377823
english,UG_Student_Intern,3250000,0.324619128970057
english,temporal_attention,3250000,0.41152410396459743
english,UWB,3250000,0.12211749555849477
english,UG_Student_Intern,3250000,0.2123421694614215
english,temporal_attention,3250000,0.5246309882003295
english,UWB,3250000,0.2392554427544101
english,UG_Student_Intern,3250000,0.3148971535954972
english,temporal_attention,3250000,0.40666311627731755
english,UWB,3250000,0.3779714328548363
english,UG_Student_Intern,3250000,0.3148971535954972
english,temporal_attention,3250000,0.5331673568218941
english,UWB,3250000,0.36801233612967743
english,UG_Student_Intern,3250000,0.31809829182858396
english,temporal_attention,3250000,0.28916948705550366
english,UWB,3250000,0.375363097998247
english,UG_Student_Intern,3250000,0.32402632559355943
english,temporal_attention,3250000,0.26510166996970325
english,UWB,3250000,0.3846108306716088
english,UG_Student_Intern,3250000,0.37903847893253184
english,temporal_attention,3250000,0.6168711935833479
english,UWB,3250000,0.11215839883333598
english,UG_Student_Intern,3250000,0.3986009903569509
english,temporal_attention,3250000,0.38757484755409655
english,UWB,3250000,0.3675380934284794
english,UG_Student_Intern,3250000,0.37714150812773967
english,temporal_attention,3250000,0.5077953723077991
english,UWB,3250000,0.3307842840856315
english,UG_Student_Intern,3250000,0.3157270783225937
english,temporal_attention,3250000,0.28027743640804037
english,UWB,3750000,0.27932895100564437
english,UG_Student_Intern,3750000,0.3307842840856315
english,temporal_attention,3750000,0.46155670894099043
english,UWB,3750000,0.27683917682435466
english,UG_Student_Intern,3750000,0.3469085359263647
english,temporal_attention,3750000,0.17132017580779121
english,UWB,3750000,0.26201909241191595
english,UG_Student_Intern,3750000,0.39326575996847296
english,temporal_attention,3750000,0.5342344028995898
english,UWB,3750000,0.2041614828657553
english,UG_Student_Intern,3750000,0.31051040860941537
english,temporal_attention,3750000,0.5002074890886306
english,UWB,3750000,0.519888561188349
english,UG_Student_Intern,3750000,0.36445551587069214
english,temporal_attention,3750000,0.4142509994964862
english,UWB,3750000,0.33694943920120596
english,UG_Student_Intern,3750000,0.34678997525106525
english,temporal_attention,3750000,0.4396229840105812
english,UWB,3750000,0.3199952626333761
english,UG_Student_Intern,3750000,0.34726421795226325
english,temporal_attention,3750000,0.4635722404210821
english,UWB,3750000,0.1989448131525769
english,UG_Student_Intern,3750000,0.4014464465641392
english,temporal_attention,3750000,0.1799751051046554
english,UWB,3750000,0.4166222130024763
english,UG_Student_Intern,3750000,0.2790918296550453
english,temporal_attention,3750000,0.2530084810891532
english,UWB,3750000,0.03509395988865481
english,UG_Student_Intern,3750000,0.38840477228119313
english,temporal_attention,3750000,0.450530566138136
english,UWB,4250000,0.22289406956307786
english,UG_Student_Intern,4250000,0.38887901498239114
english,temporal_attention,4250000,0.4700930775625551
english,UWB,4250000,0.35556346522322896
english,UG_Student_Intern,4250000,0.3675380934284794
english,temporal_attention,4250000,0.24447211246758854
english,UWB,4250000,0.2937933533921845
english,UG_Student_Intern,4250000,0.38982750038478725
english,temporal_attention,4250000,0.3959926555003617
english,UWB,4250000,0.17049025108069463
english,UG_Student_Intern,4250000,0.3272274638266462
english,temporal_attention,4250000,0.34678997525106525
english,UWB,4250000,0.3162013210237918
english,UG_Student_Intern,4250000,0.32936155598203737
english,temporal_attention,4250000,0.4786294461841198
english,UWB,4250000,0.33102140543623054
english,UG_Student_Intern,4250000,0.37085779233686567
english,temporal_attention,4250000,0.2272808145491597
english,UWB,4250000,0.3451301257968721
english,UG_Student_Intern,4250000,0.3408619414860897
english,temporal_attention,4250000,0.2832414532905282
english,UWB,4250000,0.28762819827661
english,UG_Student_Intern,4250000,0.41318395341879055
english,temporal_attention,4250000,0.33173276948802755
english,UWB,4250000,0.33398542231871825
english,UG_Student_Intern,4250000,0.41448812084708514
english,temporal_attention,4250000,0.3408619414860897
english,UWB,4250000,0.46701050000476785
english,UG_Student_Intern,4250000,0.3466714145757657
english,temporal_attention,4250000,0.3297172380079359
english,UWB,4750000,0.4652320898752752
english,UG_Student_Intern,4750000,0.39634833752626014
english,temporal_attention,4750000,0.32699034247604714
english,UWB,4750000,0.2621376530872155
english,UG_Student_Intern,4750000,0.2489774181289699
english,temporal_attention,4750000,0.5586579020112887
english,UWB,4750000,0.3234335222170619
english,UG_Student_Intern,4750000,0.32035094465927466
english,temporal_attention,4750000,0.4323907828173111
english,UWB,4750000,0.34939831010765443
english,UG_Student_Intern,4750000,0.2928448679897884
